	#000000	(0,0,0)
	#696969	(105,105,105)
    #808080	(128,128,128)
	#A9A9A9	(169,169,169)
	#C0C0C0	(192,192,192)
	#D3D3D3	(211,211,211)
	#DCDCDC	(220,220,220)
	#FFFFFF	(255,255,255)
	#6A5ACD	(106,90,205)
	#483D8B	(72,61,139)
	#191970	(25,25,112)
    #000080	(0,0,128)
	#00008B	(0,0,139)
	#0000CD	(0,0,205)
    #0000FF	(0,0,255)
	#6495ED	(100,149,237)
	#4169E1	(65,105,225)
	#1E90FF	(30,144,255)
	#00BFFF	(0,191,255)
	#87CEFA	(135,206,250)
	#87CEEB	(135,206,235)
	#ADD8E6	(173,216,230)
	#4682B4	(70,130,180)
	#B0C4DE	(176,196,222)
	#708090	(112,128,144)
	#778899	(119,136,153)
	#00FFFF	(0,255,255)
	#00CED1	(0,206,209)
	#40E0D0	(64,224,208)
	#48D1CC	(72,209,204)
	#20B2AA	(32,178,170)
	#008B8B	(0,139,139)
    #008B8B	(0,128,128)
	#7FFFD4	(127,255,212)
	#66CDAA	(102,205,170)
	#5F9EA0	(95,158,160)
	#2F4F4F	(47,79,79)
	#00FA9A	(0,250,154)
	#00FF7F	(0,255,127)
	#98FB98	(152,251,152)
	#90EE90	(144,238,144)
	#8FBC8F	(143,188,143)
	#3CB371	(60,179,113)
	#2E8B57	(46,139,87)
	#006400	(0,100,0)
	#008000	(0,128,0)
	#228B22	(34,139,34)
	#32CD32	(50,205,50)
    #00FF00	(0,255,0)
	#7CFC00	(124,252,0)
	#7FFF00	(127,255,0)
	#ADFF2F	(173,255,47)
	#9ACD32	(154,205,50)
	#6B8E23	(107,142,35)
	#556B2F	(85,107,47)
	#808000	(128,128,0)
	#BDB76B	(189,83,107)
	#DAA520	(218,165,32)
	#B8860B	(184,134,11)
    #8B4513	(139,69,19)
	#A0522D	(160,82,45)
    #BC8F8F	(188,143,143)
    #CD853F	(205,133,63)
	#D2691E	(210,105,30)
	#F4A460	(244,164,96)
	#FFDEAD	(255,222,173)
	#F5DEB3	(245,222,179)
	#DEB887	(222,184,135)
	#D2B48C	(210,180,140)
	#7B68EE	(123,104,238)
	#9370DB	(147,112,219)
	#8A2BE2	(138,43,226)
	#4B0082	(75,0,130)
	#9400D3	(148,0,211)
	#9932CC	(153,50,204)
	#BA55D3	(186,85,211)
	#800080	(128,0,128)
	#8B008B	(139,0,139)
	#FF00FF	(255,0,255)
	#EE82EE	(238,130,238)
	#DA70D6	(218,112,214)
	#DDA0DD	(221,160,221)
	#C71585	(199,21,133)
	#FF1493	(255,20,147)
	#FF69B4	(255,105,180)
	#C71585	(219,112,147)
	#FFB6C1	(255,182,193)
	#FFC0CB	(255,192,203)
	#F08080	(240,128,128)
	#CD5C5C	(205,92,92)
	#DC143C	(220,20,60)
	#800000	(128,0,0)
	#8B0000	(139,0,0)
	#B22222	(178,34,34)
	#A52A2A	(165,42,42)
	#FA8072	(250,128,114)
	#E9967A	(233,150,122)
	#FFA07A	(255,160,122)
	#FF7F50	(255,127,80)
	#FF6347	(255,99,71)
	#FF0000	(255,0,0)
	#FF4500	(255,69,0)
	#FF8C00	(255,140,0)
    #FFA500	(255,165,0)
    #FFD700	(255,215,0)
    #FFFF00	(255,255,0)
    #F0E68C	(240,230,140)
	#F0F8FF	(240,248,255)
	#F8F8FF	(248,248,255)
    #FFFAFA	(255,250,250)
	#FFF5EE	(255,245,238)
	#FFFAF0	(255,250,240)
	#F5F5F5	(245,245,245)
    #F5F5DC	(245,245,220)
    #FDF5E6	(253,245,230)
    #FFFFF0	(255,255,240)
    #FAF0E6	(250,240,230)
	#FFF8DC	(255,248,220)
	#FAEBD7	(250,235,215)
	#FFEBCD	(255,235,205)
    #FFE4C4	(255,228,196)
	#FFFFE0	(255,255,224)
	#FFFACD	(255,250,205)
	#FAFAD2	(250,250,210)
	#FFEFD5	(255,239,213)
	#FFDAB9	(255,218,185)
	#FFE4B5	(255,228,181)
	#EEE8AA	(238,232,170)
	#FFE4E1	(255,228,225)
	#FFF0F5	(255,240,245)
	#E6E6FA	(230,230,250)
    #D8BFD8	(216,191,216)
    #F0FFFF	(240,255,255)
	#E0FFFF	(224,255,255)
	#B0E0E6	(176,224,230)
	#E0FFFF	(175,238,238)
	#F0FFF0	(240,255,240)
	#F5FFFA	(245,255,250)
